Designator,Mid X,Mid Y,Rotation,Layer
J2,132.0,-87.0,270.0,top
J3,141.0,-95.0,180.0,top
J4,120.0,-84.66,180.0,top
J5,126.7,-80.0,90.0,top
J6,120.0,-97.36,180.0,top
