Designator,Mid X,Mid Y,Rotation,Layer
BT1,103.7,-117.73,90.0,bottom
C8,109.25,-118.75,270.0,top
C9,112.1,-115.15,0.0,top
D2,129.704057,-117.55,0.0,top
J1,102.18404,-57.23432,270.0,top
J2,103.7,-111.155,270.0,top
R4,116.3,-118.25,90.0,top
R5,124.8,-117.5,0.0,top
R6,120.3,-117.5,0.0,top
SW1,102.08,-67.0,270.0,top
U4,112.8,-118.5,90.0,top
