Designator,Mid X,Mid Y,Rotation,Layer
J10,12.0,52.76,0.0,top
J11,3.89,11.7,90.0,bottom
J12,2.0,41.52,0.0,top
J2,5.0,29.23,90.0,top
J3,8.5,15.5,90.0,top
J4,7.5,53.57,270.0,top
J5,5.5,3.5,90.0,top
J6,12.0,32.44,0.0,top
J7,12.0,27.36,0.0,top
J8,12.0,13.39,0.0,top
J9,12.0,4.5,0.0,top
