J3 ,1,JST-2PIN,WiRoc:JST_2.56,2 Positions Header Connector 0.098" (2.50mm) Through Hole Tin, ,JST Sales America Inc.,B2B-XH-A(LF)(SN),2.54 mm pitch should work too...,No,-,https://www.digikey.se/product-detail/en/jst-sales-america-inc/B2B-XH-A-LF-SN/455-2247-ND/1651045, 
J1 ,1,Conn_01x02,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm, ,6030916A, , , ,No,1x 2P-2.54, , 
J8 ,1,HAT_Conn_DBG,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm, ,6030916A, , , ,No,1x 3P-2.54, , 
J2 ,1,TerminalBlock_USB_Power_01x04,WiRoc:TerminalBlock_4P_2.54mm, , , , , , , , , 
J5 ,1,Conn_01x06,Pin_Headers:Pin_Header_Angled_1x06_Pitch2.54mm, , , , , , , , , 
J4 ,1,TerminalBlock_USB_Host_Data_01x04,WiRoc:TerminalBlock_4P_2.54mm, , , , , , , , , 
L2 L1 ,2,2.2uH-DCR<0.1R-1.5A,WiRoc:ELL4LG-A,FIXED IND 2.2UH 1.7A 55 MOHM SMD, ,Panasonic Electronic Components,ELL-4LG2R2NA, , ,ELL4LG-A,https://www.digikey.se/product-detail/en/panasonic-electronic-components/ELL-4LG2R2NA/PCD2215TR-ND/1938292, 
R7 R2 R3 ,3,200K-1%,Resistors_SMD:R_0603, ,C25811, ,0603WAF2003T5E, ,Free,0603, , 
R8 ,1,24K-1%,Resistors_SMD:R_0603, ,C23352, ,0603WAF2402T5E, ,Free,0603, , 
R9 ,1,3.6K-1%,Resistors_SMD:R_0603, ,C22980, ,0603WAF3601T5E, ,Free,0603, , 
R5 ,1,0R03,Resistors_SMD:R_0805,RESISTOR 0805 0.03Ω 1/8W±1%,-,Vishay Dale,WSL0805R0300FEA, ,No,0805,https://www.digikey.com/product-detail/en/vishay-dale/WSL0805R0300FEA/WSLA-.03CT-ND/713392, 
R4 R6 ,2,1K,Resistors_SMD:R_0603,1KΩ (1001) ±1%,C21190, ,0603F1001T5E, ,Free,0603, , 
R1 R10 ,2,100K-1%,Resistors_SMD:R_0603, ,C25803, ,0603WAF1003T5E, ,Free,0603, , 
TP10 TP11 TP14 TP4 TP1 TP2 TP9 TP3 ,8,TEST,Measurement_Points:Measurement_Point_Round-SMD-Pad_Small, , , , , , , , , 
U3 ,1,AXP209,Housings_DFN_QFN:QFN-48-1EP_6x6mm_Pitch0.4mm,Enhanced single Cell Li-Battery and Power System Management IC, ,X-Powers Limited,AXP209, ,Yes,6mm x 6mm 48-pin QFN, , 
U4 ,1,LP6226/SY7208,TO_SOT_Packages_SMD:SOT-23-6,High Efficiency Boost DC/DC Convertor, ,lowpowersemi,LP6226B6F, ,Yes,SOT23-6, , 
U5 ,1,SY6280,TO_SOT_Packages_SMD:SOT-23-5,Power Distribution Switch  1In/1Out  Act-High Enable  1A  Vin 2.4÷5.5V  80mΩ, ,SILERGY,SY6280AAC, ,Yes,SOT23-5, , 
U2 ,1,LoraRadio,Pin_Headers:Pin_Header_Straight_1x07_Pitch2.54mm,Lora radio module, ,AppconnWireless,RF1276T ; freq: ~440Mhz ; voltage: 2.1-3.7V ; TTL serial, ,Yes,-, , 




BOM made with KICAD_BOM_WIZARD (https://github.com/HashDefineElectronics/KiCad_BOM_Wizard.git)
Generated lör  7 jul 2018 10:55:37
