"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","WiRoc:JST_2.56",""
"2","C8, C9","2","10uF","Capacitor_SMD:C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"3","D2","1","LED_DUAL_ACCA","WiRoc:LED_Dual_1.7_1.6",""
"4","J1","1","USB_B_Micro","WiRoc:USB_Micro-B_Horizontal",""
"5","J2","1","Conn_01x02_Pin","WiRoc:JST_2.56",""
"6","R1, R5, R6","3","470","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"7","R4","1","2K","Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"8","SW1","1","SW_SPDT","Button_Switch_SMD:SW_SPDT_PCM12",""
"9","U4","1","LP4054HB5F","Package_TO_SOT_SMD:SOT-23-5",""
