Designator,Mid X,Mid Y,Rotation,Layer
C1,19.9718,4.5246,180.0,top
C10,20.429,11.5096,90.0,top
C11,17.0,1.5274,180.0,top
C12,19.9718,6.5312,180.0,top
C13,12.682,5.566,0.0,top
C14,12.682,4.677,0.0,top
C15,11.158,6.074,270.0,top
C16,9.634,4.804,180.0,top
C17,8.11,3.788,90.0,top
C18,10.523,11.027,0.0,top
C19,7.094,3.788,90.0,top
C2,19.9718,5.5246,180.0,top
C20,8.3132,8.995,270.0,top
C21,8.5926,15.091,0.0,top
C22,8.5926,16.025,0.0,top
C23,11.6914,19.2058,0.0,top
C24,16.2712,19.0534,270.0,top
C25,13.3424,11.5096,180.0,top
C26,15.1712,19.0534,270.0,top
C27,13.3424,12.5002,180.0,top
C28,8.575,14.175,0.0,top
C29,16.1364,15.345,180.0,top
C3,12.428,1.675,90.0,top
C30,16.1364,16.361,180.0,top
C31,17.635,14.837,90.0,top
C32,19.1336,16.2902,0.0,top
C33,20.6068,17.23,270.0,top
C34,21.572,17.23,270.0,top
C4,15.6792,9.1474,0.0,top
C5,13.4655,1.65,90.0,top
C6,15.6792,8.233,0.0,top
C7,18.2446,9.4522,180.0,top
C8,19.032,10.9,135.0,bottom
C9,19.667,11.535,135.0,bottom
J2,4.65,22.8,270.0,bottom
J3,19.89,22.8,270.0,bottom
L1,11.158,4.296,270.0,top
L2,9.634,5.82,0.0,top
L3,7.602,5.312,0.0,top
L4,17.635,16.7928,90.0,top
L5,19.1336,15.2488,180.0,top
L6,21.108,15.8022,180.0,top
R1,14.9934,1.502,180.0,top
R2,13.6472,19.2058,0.0,top
U1,16.33,4.712,180.0,top
U2,12.3868,15.9642,0.0,top
Y1,17.71625,11.811846,180.0,top
Y2,11.0,8.7,0.0,top
