Designator,Mid X,Mid Y,Rotation,Layer
C18,80.32,-84.8,180.0,top
C20,79.4,-86.8,0.0,top
D3,83.4,-93.21,0.0,top
J1,96.2,-76.11,0.0,top
J11,71.74,-94.6,270.0,top
J2,91.47,-56.6,270.0,top
J7,56.835,-61.13,0.0,top
J9,75.0,-55.0,0.0,top
R56,85.0,-96.4,0.0,top
R57,85.0,-98.4,0.0,top
R58,87.31,-92.6,0.0,top
R59,79.4,-88.8,180.0,top
U8,75.0,-75.0,270.0,top
